id	filename	render_path	media_type	animated	category	description	keywords	use_when
001	Camera_XHS_174184591622601025l01khgpo9u2t5v010n2zje6bat2pg.jpg	Camera_XHS_174184591622601025l01khgpo9u2t5v010n2zje6bat2pg.jpg	image/jpeg	no	贴贴撒娇	小动物趴在对方身上，配字“黏你”	黏人,贴贴,趴着,抱抱	想直接黏住对方时
002	Camera_XHS_1780379208526.jpg	Camera_XHS_1780379208526.jpg	image/jpeg	no	委屈哭哭	方块小猫举着“TvT”哭脸牌	委屈,TvT,掉眼泪	轻轻表示难过时
003	Camera_XHS_1787702249083.jpg	Camera_XHS_1787702249083.jpg	image/jpeg	no	安慰陪伴	大猫把小猫抱在怀里舔毛	抱抱,照顾,安慰,陪伴	想把对方抱住哄一哄时
004	Camera_XHS_1788058279245.jpg	Camera_XHS_1788058279245.jpg	image/jpeg	no	贴贴撒娇	小狗从背后抱住另一只小狗	背后抱,贴贴,不松手	想从背后黏住对方时
005	Camera_XHS_1788254193604.jpg	Camera_XHS_1788254193604.jpg	image/jpeg	no	生气质问	小仓鼠气势汹汹登场	生气,登场,气势汹汹,萌	气呼呼地出现时
006	IMG_20240623_003357.jpg	IMG_20240623_003357.jpg	image/jpeg	no	委屈哭哭	猪猪侠配字“真心总被骗”	受骗,委屈,真心,自嘲	觉得自己的真心被辜负时
007	IMG_20241118_141229.jpg	IMG_20241118_141229.jpg	image/jpeg	no	震惊疑惑	皱眉小猫头顶问号	问号,疑惑,不理解	完全没听懂或没反应过来时
008	IMG_20241118_141243.jpg	IMG_20241118_141243.jpg	image/jpeg	no	震惊疑惑	小猪睁大眼睛呆住	震惊,呆住,小猪	突然被说懵时
009	IMG_20250626_224814.jpg	IMG_20250626_224814.jpg	image/jpeg	no	震惊疑惑	戴小胡子的猫配字“我嘟嘟逼人？”	反问,无辜,咄咄逼人,小胡子	被说凶时无辜反问
010	IMG_20250804_130826.jpg	IMG_20250804_130826.jpg	image/jpeg	no	贴贴撒娇	胖猫想抱人但担心肚子先顶到	抱抱,胖猫,肚子,贴贴	想抱抱又故意卖萌时
011	IMG_20251105_205016.jpg	IMG_20251105_205016.jpg	image/jpeg	no	崩溃疲惫	人物崩溃大喊“美国人怎么这么坏”	崩溃,大喊,太坏了	遇到离谱坏事时
012	img-1713589736748c94fdb8b1e2288f1ddef4cdd38ae26dd5c5acdb12e80574688f8be272f706405.jpg	img-1713589736748c94fdb8b1e2288f1ddef4cdd38ae26dd5c5acdb12e80574688f8be272f706405.jpg	image/jpeg	no	害羞可爱	白色小狗低头怯怯地看过来	可怜,小狗,低头,怯生生	小心翼翼求关注时
013	img-17165582207762c6ed81ba22d25e29d5233dfb3048c483e986eaa1f63d1c62b7899d436aba9fb.jpg	render/013.jpg	image/heic	no	无语嫌弃	圆滚滚小动物安静站着	沉默,发呆,看着	不知道该说什么时
014	img-17165582236823e78254911dbf3a14cb4c9a033ca4c4cf0b75e3a683447fa5a5f8265e4de0e43.jpg	render/014.jpg	image/heic	no	委屈哭哭	圆滚滚小动物含着一大滴眼泪	眼泪,可怜,忍哭	委屈但还没哭出来时
015	img-1717121231508d2090526229e9d9b55535ad984cf5c7ee51f97346c833cd0765021f5309575eb.jpg	render/015.jpg	image/heic	no	开心得意	猫猫兴奋挥手，配字“哦哦哦哦哦”	明白了,兴奋,哦哦	突然懂了或兴奋应声时
016	img-1717696744571cf7d7aa8cf159b78dec8f20d65716cb0c2ee8bc7a7810c7ab041fb63d875b858.jpg	render/016.jpg	image/heic	no	委屈哭哭	模糊哭脸配字“求放过”	求饶,放过,哭	被逗得招架不住时
017	img-1717767873368c7d4d46606e606662b8a0b1fa031b5d6d37656532adb75362c8c7a6d950b0141.jpg	render/017.jpg	image/heic	no	生气质问	小狗眼里冒火	怒火,小狗,生气	真的气到了但仍然很萌时
018	img-17177678891803e6424e749019802de01b2b91513f41e85939935d1280e6fcc909290bd2ac933.jpg	render/018.jpg	image/heic	no	委屈哭哭	小狗流下两串蓝色眼泪	小狗,大哭,眼泪	委屈明显升级时
019	img-1717821057800bd0d69713e25411f36f000c13863a0000e410c98c8d24ca6fd3f0462a3aa585e.jpg	img-1717821057800bd0d69713e25411f36f000c13863a0000e410c98c8d24ca6fd3f0462a3aa585e.jpg	image/jpeg	no	贴贴撒娇	长脸石像认真说“妹子，你能理理我么，暗恋你很久了”	暗恋,理理我,求关注,石像	想可怜巴巴求对方理一理时
020	img-1718175891397f23c0ace43213ceda898b956604d83974f492b124736774a33a1eca5e58b338e.jpg	img-1718175891397f23c0ace43213ceda898b956604d83974f492b124736774a33a1eca5e58b338e.jpg	image/jpeg	no	无语嫌弃	模糊小人面无表情站着	呆滞,无语,站着	静静看对方表演时
021	img-1718192490656ba138f8171ec790fd44a40220701a298ae17307faca55796d2f47ad0cf615018.jpg	img-1718192490656ba138f8171ec790fd44a40220701a298ae17307faca55796d2f47ad0cf615018.jpg	image/jpeg	no	贴贴撒娇	玩偶含泪说会永远看着你	永远,注视,黏人,玩偶	夸张表达离不开和关注时
022	img-1718328187463b9abc890386edccc6b0b369fea7024b7a440b5adb2678e82577b15b6730fa7f1.jpg	img-1718328187463b9abc890386edccc6b0b369fea7024b7a440b5adb2678e82577b15b6730fa7f1.jpg	image/jpeg	no	无语嫌弃	圆脸从边缘悄悄探头	探头,观察,偷窥	暗中观察局面时
